Date : 2022-02-01 17:40:12
Directory : j:\my_all_prog2\my_ecommerce
Total : 209 files,  11435 codes, 907 comments, 1512 blanks, all 13854 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| j:\my_all_prog2\my_ecommerce\lib\features\product\product_injection_containers.dart                                                                    | Dart       |         10 |          5 |          4 |         19 |
| j:\my_all_prog2\my_ecommerce\lib\features\wish_list\data\datasources\cache_data_source.dart                                                            | Dart       |         83 |          0 |         13 |         96 |
| j:\my_all_prog2\my_ecommerce\lib\features\wish_list\data\datasources\local_data_source.dart                                                            | Dart       |         83 |          1 |         14 |         98 |
| j:\my_all_prog2\my_ecommerce\lib\features\wish_list\data\datasources\remote_data_source.dart                                                           | Dart       |         21 |          3 |          5 |         29 |
| j:\my_all_prog2\my_ecommerce\lib\features\wish_list\data\repositories\wish_list_repo_impl.dart                                                         | Dart       |        108 |         38 |         14 |        160 |
| j:\my_all_prog2\my_ecommerce\lib\features\wish_list\domain\entities\wish_list_id.dart                                                                  | Dart       |         16 |          0 |          7 |         23 |
| j:\my_all_prog2\my_ecommerce\lib\features\wish_list\domain\entities\wish_list_id.g.dart                                                                | Dart       |         30 |          4 |          8 |         42 |
| j:\my_all_prog2\my_ecommerce\lib\features\wish_list\domain\entities\wish_list_products.dart                                                            | Dart       |         23 |          6 |         11 |         40 |
| j:\my_all_prog2\my_ecommerce\lib\features\wish_list\domain\repositories\wish_list_repo.dart                                                            | Dart       |         15 |          0 |          3 |         18 |
| j:\my_all_prog2\my_ecommerce\lib\features\wish_list\domain\usecases\add_to_wish_list.dart                                                              | Dart       |         17 |          1 |          5 |         23 |
| j:\my_all_prog2\my_ecommerce\lib\features\wish_list\domain\usecases\get_all_wish_list_ids.dart                                                         | Dart       |         15 |          0 |          3 |         18 |
| j:\my_all_prog2\my_ecommerce\lib\features\wish_list\domain\usecases\get_all_wish_list_prducts.dart                                                     | Dart       |         15 |          0 |          3 |         18 |
| j:\my_all_prog2\my_ecommerce\lib\features\wish_list\domain\usecases\remove_all_wish_list.dart                                                          | Dart       |         13 |          1 |          4 |         18 |
| j:\my_all_prog2\my_ecommerce\lib\features\wish_list\domain\usecases\remove_from_wish_list.dart                                                         | Dart       |         16 |          1 |          4 |         21 |
| j:\my_all_prog2\my_ecommerce\lib\features\wish_list\domain\usecases\usecases.dart                                                                      | Dart       |          4 |          0 |          1 |          5 |
| j:\my_all_prog2\my_ecommerce\lib\features\wish_list\presentation\bloc\wishlist_bloc.dart                                                               | Dart       |         78 |         13 |         12 |        103 |
| j:\my_all_prog2\my_ecommerce\lib\features\wish_list\presentation\bloc\wishlist_event.dart                                                              | Dart       |         31 |          0 |         12 |         43 |
| j:\my_all_prog2\my_ecommerce\lib\features\wish_list\presentation\bloc\wishlist_state.dart                                                              | Dart       |         36 |          0 |         11 |         47 |
| j:\my_all_prog2\my_ecommerce\lib\features\wish_list\wish_list_injection_containers.dart                                                                | Dart       |         40 |         11 |          6 |         57 |
| j:\my_all_prog2\my_ecommerce\lib\l10n\app_ar.arb                                                                                                       | JSON       |         31 |          0 |          0 |         31 |
| j:\my_all_prog2\my_ecommerce\lib\l10n\app_en.arb                                                                                                       | JSON       |         31 |          0 |          0 |         31 |
| j:\my_all_prog2\my_ecommerce\lib\l10n\l10n.dart                                                                                                        | Dart       |         26 |          0 |          4 |         30 |
| j:\my_all_prog2\my_ecommerce\lib\main.dart                                                                                                             | Dart       |         78 |          3 |          8 |         89 |
| j:\my_all_prog2\my_ecommerce\lib\models\cart_model.dart                                                                                                | Dart       |         73 |         28 |         24 |        125 |
| j:\my_all_prog2\my_ecommerce\lib\models\category_model.dart                                                                                            | Dart       |         49 |          0 |         10 |         59 |
| j:\my_all_prog2\my_ecommerce\lib\models\models.dart                                                                                                    | Dart       |          3 |          0 |          1 |          4 |
| j:\my_all_prog2\my_ecommerce\lib\models\product_json.json                                                                                              | JSON       |         22 |          0 |          1 |         23 |
| j:\my_all_prog2\my_ecommerce\lib\models\product_model.dart                                                                                             | Dart       |        137 |          5 |         10 |        152 |
| j:\my_all_prog2\my_ecommerce\lib\screens\cart_screen.dart                                                                                              | Dart       |         50 |          5 |          4 |         59 |
| j:\my_all_prog2\my_ecommerce\lib\screens\catalog_screen.dart                                                                                           | Dart       |         19 |          0 |          4 |         23 |
| j:\my_all_prog2\my_ecommerce\lib\screens\checkout_screen.dart                                                                                          | Dart       |        159 |         23 |          7 |        189 |
| j:\my_all_prog2\my_ecommerce\lib\screens\home_screen\home_screen.dart                                                                                  | Dart       |         53 |          2 |          5 |         60 |
| j:\my_all_prog2\my_ecommerce\lib\screens\home_screen\home_screen_category_carousel_slider.dart                                                         | Dart       |         85 |          0 |          9 |         94 |
| j:\my_all_prog2\my_ecommerce\lib\screens\home_screen\vertical_products_list_view.dart                                                                  | Dart       |         29 |          0 |          4 |         33 |
| j:\my_all_prog2\my_ecommerce\lib\screens\intro_choose_language_and_theme_screen.dart                                                                   | Dart       |         52 |          1 |          4 |         57 |
| j:\my_all_prog2\my_ecommerce\lib\screens\intro_overboard_screen.dart                                                                                   | Dart       |         75 |          0 |          4 |         79 |
| j:\my_all_prog2\my_ecommerce\lib\screens\product_details_screen.dart                                                                                   | Dart       |        158 |         10 |          5 |        173 |
| j:\my_all_prog2\my_ecommerce\lib\screens\splash_screen.dart                                                                                            | Dart       |         44 |          3 |          2 |         49 |
| j:\my_all_prog2\my_ecommerce\lib\screens\wish_list_screen.dart                                                                                         | Dart       |         46 |          5 |          6 |         57 |
| j:\my_all_prog2\my_ecommerce\lib\settings\language_settings\change_language_widget.dart                                                                | Dart       |         57 |          0 |          3 |         60 |
| j:\my_all_prog2\my_ecommerce\lib\settings\language_settings\cubit\language_cubit.dart                                                                  | Dart       |         23 |          0 |          7 |         30 |
| j:\my_all_prog2\my_ecommerce\lib\settings\language_settings\cubit\language_state.dart                                                                  | Dart       |          7 |          0 |          3 |         10 |
| j:\my_all_prog2\my_ecommerce\lib\settings\settings_screen.dart                                                                                         | Dart       |         50 |          0 |          5 |         55 |
| j:\my_all_prog2\my_ecommerce\lib\settings\theme_settings\app_themes.dart                                                                               | Dart       |         39 |         37 |          9 |         85 |
| j:\my_all_prog2\my_ecommerce\lib\settings\theme_settings\change_theme_widget.dart                                                                      | Dart       |         79 |          2 |          5 |         86 |
| j:\my_all_prog2\my_ecommerce\lib\settings\theme_settings\cubit\theme_cubit.dart                                                                        | Dart       |         41 |          3 |          9 |         53 |
| j:\my_all_prog2\my_ecommerce\lib\settings\theme_settings\cubit\theme_state.dart                                                                        | Dart       |          8 |         12 |          5 |         25 |
| j:\my_all_prog2\my_ecommerce\lib\widgets\add_to_cart_button.dart                                                                                       | Dart       |         41 |         29 |          5 |         75 |
| j:\my_all_prog2\my_ecommerce\lib\widgets\add_to_wish_list_button.dart                                                                                  | Dart       |         95 |         14 |         11 |        120 |
| j:\my_all_prog2\my_ecommerce\lib\widgets\cart_badge.dart                                                                                               | Dart       |         57 |          0 |          4 |         61 |
| j:\my_all_prog2\my_ecommerce\lib\widgets\cart_list_widget.dart                                                                                         | Dart       |         30 |          0 |          5 |         35 |
| j:\my_all_prog2\my_ecommerce\lib\widgets\cart_product_card.dart                                                                                        | Dart       |        115 |          1 |          5 |        121 |
| j:\my_all_prog2\my_ecommerce\lib\widgets\circular_icon_button.dart                                                                                     | Dart       |         26 |          0 |          4 |         30 |
| j:\my_all_prog2\my_ecommerce\lib\widgets\circular_rating_number.dart                                                                                   | Dart       |         25 |          0 |          5 |         30 |
| j:\my_all_prog2\my_ecommerce\lib\widgets\custom_app_bar.dart                                                                                           | Dart       |         28 |          0 |          5 |         33 |
| j:\my_all_prog2\my_ecommerce\lib\widgets\custom_back_button.dart                                                                                       | Dart       |         15 |          0 |          4 |         19 |
| j:\my_all_prog2\my_ecommerce\lib\widgets\custom_bottom_app_bar.dart                                                                                    | Dart       |         43 |          2 |          5 |         50 |
| j:\my_all_prog2\my_ecommerce\lib\widgets\custom_headline1.dart                                                                                         | Dart       |         19 |          0 |          4 |         23 |
| j:\my_all_prog2\my_ecommerce\lib\widgets\custom_nav_bar.dart                                                                                           | Dart       |         34 |          0 |          3 |         37 |
| j:\my_all_prog2\my_ecommerce\lib\widgets\custom_poduct_cards_staggered_grid_view.dart                                                                  | Dart       |         31 |          3 |          3 |         37 |
| j:\my_all_prog2\my_ecommerce\lib\widgets\custom_product_card_for_screens.dart                                                                          | Dart       |         88 |          8 |          6 |        102 |
| j:\my_all_prog2\my_ecommerce\lib\widgets\get_network_image_widget.dart                                                                                 | Dart       |         42 |          2 |          5 |         49 |
| j:\my_all_prog2\my_ecommerce\lib\widgets\intro_overboard_carousel_slider.dart                                                                          | Dart       |        101 |          0 |          7 |        108 |
| j:\my_all_prog2\my_ecommerce\lib\widgets\main_nav_bar_button.dart                                                                                      | Dart       |         28 |          0 |          4 |         32 |
| j:\my_all_prog2\my_ecommerce\lib\widgets\order_summery.dart                                                                                            | Dart       |         93 |          0 |          4 |         97 |
| j:\my_all_prog2\my_ecommerce\lib\widgets\product_aligment_circular_widget.dart                                                                         | Dart       |         41 |          0 |          4 |         45 |
| j:\my_all_prog2\my_ecommerce\lib\widgets\product_availability_widget.dart                                                                              | Dart       |         25 |          0 |          2 |         27 |
| j:\my_all_prog2\my_ecommerce\lib\widgets\product_card_image_and_discount.dart                                                                          | Dart       |         47 |          3 |          4 |         54 |
| j:\my_all_prog2\my_ecommerce\lib\widgets\product_details_carousel_slider.dart                                                                          | Dart       |         67 |          1 |          6 |         74 |
| j:\my_all_prog2\my_ecommerce\lib\widgets\product_first_category_name.dart                                                                              | Dart       |         18 |          1 |          4 |         23 |
| j:\my_all_prog2\my_ecommerce\lib\widgets\product_name_widget.dart                                                                                      | Dart       |         25 |          0 |          4 |         29 |
| j:\my_all_prog2\my_ecommerce\lib\widgets\product_prices_widgets.dart                                                                                   | Dart       |         60 |          0 |          6 |         66 |
| j:\my_all_prog2\my_ecommerce\lib\widgets\product_rating_in_card.dart                                                                                   | Dart       |         33 |          0 |          4 |         37 |
| j:\my_all_prog2\my_ecommerce\lib\widgets\quantity_number_text.dart                                                                                     | Dart       |         18 |          0 |          3 |         21 |
| j:\my_all_prog2\my_ecommerce\lib\widgets\read_more.dart                                                                                                | Dart       |         28 |          1 |          3 |         32 |
| j:\my_all_prog2\my_ecommerce\lib\widgets\single_detail_widget.dart                                                                                     | Dart       |         22 |          0 |          4 |         26 |
| j:\my_all_prog2\my_ecommerce\lib\widgets\widgets.dart                                                                                                  | Dart       |         28 |          0 |          1 |         29 |
| j:\my_all_prog2\my_ecommerce\pubspec.yaml                                                                                                              | YAML       |         57 |         43 |          8 |        108 |
| j:\my_all_prog2\my_ecommerce\readme_files\first_wish_list_bloc_diagram_for_single_product\first_wish_list_bloc_diagram_for_single_product.drawio       | Draw.io    |        128 |          0 |          0 |        128 |
| j:\my_all_prog2\my_ecommerce\test\core\networking\check_connection_using_url_test.dart                                                                 | Dart       |         30 |          6 |          6 |         42 |
| j:\my_all_prog2\my_ecommerce\test\core\networking\network_test.dart                                                                                    | Dart       |         77 |         36 |         12 |        125 |
| j:\my_all_prog2\my_ecommerce\test\features\cart\repositories\cart_repository_test.dart                                                                 | Dart       |         42 |         10 |          8 |         60 |
| j:\my_all_prog2\my_ecommerce\test\fixtures\t_cart_item.dart                                                                                            | Dart       |          3 |          0 |          3 |          6 |
| j:\my_all_prog2\my_ecommerce\test\fixtures\t_product.dart                                                                                              | Dart       |         32 |          0 |          2 |         34 |
| j:\my_all_prog2\my_ecommerce\test\test_constants.dart                                                                                                  | Dart       |          3 |          1 |          2 |          6 |
| j:\my_all_prog2\my_ecommerce\test\widget_test.dart                                                                                                     | Dart       |          4 |          6 |          2 |         12 |
| j:\my_all_prog2\my_ecommerce\web\index.html                                                                                                            | HTML       |         85 |         14 |          5 |        104 |
| j:\my_all_prog2\my_ecommerce\web\manifest.json                                                                                                         | JSON       |         23 |          0 |          1 |         24 |
| j:\my_all_prog2\my_ecommerce\web\splash\style.css                                                                                                      | CSS        |         36 |          0 |          8 |         44 |
| Total                                                                                                                                                  |            |     11,435 |        907 |      1,512 |     13,854 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
